"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","fairPartner","unfairPartner","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","throwsLeft","rtDur","pFair","pUnfair","holder","receiver","animation_sequence","responses"
"pavlovia","0","15","0.0-0.0","636570d91a49a6d6cbcbc854","bdp_cybrbll","Mon Mar 27 2023 10:31:46 GMT (Coordinated Universal Time)","556110","1","3","","","","","","","","","","","","","","","","",""
"instructions","1","28320","0.0-1.0","636570d91a49a6d6cbcbc854","bdp_cybrbll","Mon Mar 27 2023 10:31:46 GMT (Coordinated Universal Time)","556110","1","3","[{""page_index"":0,""viewing_time"":28302}]","28302","","","","","","","","","","","","","","",""
"","","","","636570d91a49a6d6cbcbc854","bdp_cybrbll","Mon Mar 27 2023 10:31:46 GMT (Coordinated Universal Time)","556110","1","3","","","fullscreenenter","2","37556","fullscreenenter","","","","","","","","","","",""
"fullscreen","2","38508","0.0-2.0","636570d91a49a6d6cbcbc854","bdp_cybrbll","Mon Mar 27 2023 10:31:46 GMT (Coordinated Universal Time)","556110","1","3","","","","","","","true","","","","","","","","","",""
"instructions","3","144246","0.0-4.0","636570d91a49a6d6cbcbc854","bdp_cybrbll","Mon Mar 27 2023 10:31:46 GMT (Coordinated Universal Time)","556110","1","3","[{""page_index"":0,""viewing_time"":105732}]","105733","","","","","","","","","","","","","","",""
"image-keyboard-response","4","145936","0.0-5.0-1.0","636570d91a49a6d6cbcbc854","bdp_cybrbll","Mon Mar 27 2023 10:31:46 GMT (Coordinated Universal Time)","556110","1","3","","1685","","","","choice","","img/2to1/1.png","1","225","1267","0.5","0.5","2","1","",""
"animation","5","147226","0.0-5.0-2.0","636570d91a49a6d6cbcbc854","bdp_cybrbll","Mon Mar 27 2023 10:31:46 GMT (Coordinated Universal Time)","556110","1","3","","","","","","","","","","225","","","","2","1","[{""stimulus"":""img/2to1/1.png"",""time"":105},{""stimulus"":""img/2to1/2.png"",""time"":204},{""stimulus"":""img/2to1/3.png"",""time"":305},{""stimulus"":""img/2to1/4.png"",""time"":404},{""stimulus"":""img/2to1/5.png"",""time"":506},{""stimulus"":""img/2to1/6.png"",""time"":603},{""stimulus"":""img/2to1/7.png"",""time"":704},{""stimulus"":""img/2to1/8.png"",""time"":805},{""stimulus"":""img/2to1/9.png"",""time"":904},{""stimulus"":""img/2to1/10.png"",""time"":1005},{""stimulus"":""img/2to1/11.png"",""time"":1104},{""stimulus"":""img/2to1/12.png"",""time"":1205}]","[]"
"image-keyboard-response","6","147745","0.0-5.0-1.1","636570d91a49a6d6cbcbc854","bdp_cybrbll","Mon Mar 27 2023 10:31:46 GMT (Coordinated Universal Time)","556110","1","3","","null","","","","observe","","img/1to3/1.png","null","224","515","0.5","0.5","1","3","",""
"animation","7","149040","0.0-5.0-2.1","636570d91a49a6d6cbcbc854","bdp_cybrbll","Mon Mar 27 2023 10:31:46 GMT (Coordinated Universal Time)","556110","1","3","","","","","","","","","","224","","","","1","3","[{""stimulus"":""img/1to3/1.png"",""time"":109},{""stimulus"":""img/1to3/2.png"",""time"":212},{""stimulus"":""img/1to3/3.png"",""time"":311},{""stimulus"":""img/1to3/4.png"",""time"":412},{""stimulus"":""img/1to3/5.png"",""time"":497},{""stimulus"":""img/1to3/6.png"",""time"":595},{""stimulus"":""img/1to3/7.png"",""time"":695},{""stimulus"":""img/1to3/8.png"",""time"":795},{""stimulus"":""img/1to3/9.png"",""time"":896},{""stimulus"":""img/1to3/10.png"",""time"":994},{""stimulus"":""img/1to3/11.png"",""time"":1095},{""stimulus"":""img/1to3/12.png"",""time"":1196}]","[]"
"image-keyboard-response","8","149624","0.0-5.0-1.2","636570d91a49a6d6cbcbc854","bdp_cybrbll","Mon Mar 27 2023 10:31:46 GMT (Coordinated Universal Time)","556110","1","3","","null","","","","observe","","img/3to2/1.png","null","223","582","0.5","0.5","3","1","",""
"animation","9","150924","0.0-5.0-2.2","636570d91a49a6d6cbcbc854","bdp_cybrbll","Mon Mar 27 2023 10:31:46 GMT (Coordinated Universal Time)","556110","1","3","","","","","","","","","","223","","","","3","1","[{""stimulus"":""img/3to1/1.png"",""time"":109},{""stimulus"":""img/3to1/2.png"",""time"":201},{""stimulus"":""img/3to1/3.png"",""time"":303},{""stimulus"":""img/3to1/4.png"",""time"":397},{""stimulus"":""img/3to1/5.png"",""time"":499},{""stimulus"":""img/3to1/6.png"",""time"":598},{""stimulus"":""img/3to1/7.png"",""time"":695},{""stimulus"":""img/3to1/8.png"",""time"":804},{""stimulus"":""img/3to1/9.png"",""time"":898},{""stimulus"":""img/3to1/10.png"",""time"":992},{""stimulus"":""img/3to1/11.png"",""time"":1090},{""stimulus"":""img/3to1/12.png"",""time"":1198}]","[]"
"image-keyboard-response","10","151975","0.0-5.0-1.3","636570d91a49a6d6cbcbc854","bdp_cybrbll","Mon Mar 27 2023 10:31:46 GMT (Coordinated Universal Time)","556110","1","3","","null","","","","observe","","img/1to3/1.png","null","222","1036","0.5","0.5","1","2","",""
"animation","11","153271","0.0-5.0-2.3","636570d91a49a6d6cbcbc854","bdp_cybrbll","Mon Mar 27 2023 10:31:46 GMT (Coordinated Universal Time)","556110","1","3","","","","","","","","","","222","","","","1","2","[{""stimulus"":""img/1to2/1.png"",""time"":110},{""stimulus"":""img/1to2/2.png"",""time"":212},{""stimulus"":""img/1to2/3.png"",""time"":298},{""stimulus"":""img/1to2/4.png"",""time"":411},{""stimulus"":""img/1to2/5.png"",""time"":497},{""stimulus"":""img/1to2/6.png"",""time"":597},{""stimulus"":""img/1to2/7.png"",""time"":696},{""stimulus"":""img/1to2/8.png"",""time"":797},{""stimulus"":""img/1to2/9.png"",""time"":895},{""stimulus"":""img/1to2/10.png"",""time"":997},{""stimulus"":""img/1to2/11.png"",""time"":1097},{""stimulus"":""img/1to2/12.png"",""time"":1196}]","[]"
"image-keyboard-response","12","153974","0.0-5.0-1.4","636570d91a49a6d6cbcbc854","bdp_cybrbll","Mon Mar 27 2023 10:31:46 GMT (Coordinated Universal Time)","556110","1","3","","701","","","","choice","","img/2to1/1.png","2","221","335","0.5","0.5","2","3","",""
"animation","13","155270","0.0-5.0-2.4","636570d91a49a6d6cbcbc854","bdp_cybrbll","Mon Mar 27 2023 10:31:46 GMT (Coordinated Universal Time)","556110","1","3","","","","","","","","","","221","","","","2","3","[{""stimulus"":""img/2to3/1.png"",""time"":105},{""stimulus"":""img/2to3/2.png"",""time"":212},{""stimulus"":""img/2to3/3.png"",""time"":299},{""stimulus"":""img/2to3/4.png"",""time"":412},{""stimulus"":""img/2to3/5.png"",""time"":496},{""stimulus"":""img/2to3/6.png"",""time"":596},{""stimulus"":""img/2to3/7.png"",""time"":697},{""stimulus"":""img/2to3/8.png"",""time"":796},{""stimulus"":""img/2to3/9.png"",""time"":896},{""stimulus"":""img/2to3/10.png"",""time"":997},{""stimulus"":""img/2to3/11.png"",""time"":1095},{""stimulus"":""img/2to3/12.png"",""time"":1197}]","[]"
"image-keyboard-response","14","155855","0.0-5.0-1.5","636570d91a49a6d6cbcbc854","bdp_cybrbll","Mon Mar 27 2023 10:31:46 GMT (Coordinated Universal Time)","556110","1","3","","null","","","","observe","","img/3to2/1.png","null","220","568","0.5","0.5","3","2","",""
"animation","15","157154","0.0-5.0-2.5","636570d91a49a6d6cbcbc854","bdp_cybrbll","Mon Mar 27 2023 10:31:46 GMT (Coordinated Universal Time)","556110","1","3","","","","","","","","","","220","","","","3","2","[{""stimulus"":""img/3to2/1.png"",""time"":110},{""stimulus"":""img/3to2/2.png"",""time"":213},{""stimulus"":""img/3to2/3.png"",""time"":300},{""stimulus"":""img/3to2/4.png"",""time"":400},{""stimulus"":""img/3to2/5.png"",""time"":499},{""stimulus"":""img/3to2/6.png"",""time"":600},{""stimulus"":""img/3to2/7.png"",""time"":698},{""stimulus"":""img/3to2/8.png"",""time"":799},{""stimulus"":""img/3to2/9.png"",""time"":899},{""stimulus"":""img/3to2/10.png"",""time"":999},{""stimulus"":""img/3to2/11.png"",""time"":1099},{""stimulus"":""img/3to2/12.png"",""time"":1198}]","[]"
"image-keyboard-response","16","157765","0.0-5.0-1.6","636570d91a49a6d6cbcbc854","bdp_cybrbll","Mon Mar 27 2023 10:31:46 GMT (Coordinated Universal Time)","556110","1","3","","610","","","","choice","","img/2to1/1.png","1","219","965","0.5","0.5","2","1","",""
"animation","17","159069","0.0-5.0-2.6","636570d91a49a6d6cbcbc854","bdp_cybrbll","Mon Mar 27 2023 10:31:46 GMT (Coordinated Universal Time)","556110","1","3","","","","","","","","","","219","","","","2","1","[{""stimulus"":""img/2to1/1.png"",""time"":115},{""stimulus"":""img/2to1/2.png"",""time"":204},{""stimulus"":""img/2to1/3.png"",""time"":304},{""stimulus"":""img/2to1/4.png"",""time"":403},{""stimulus"":""img/2to1/5.png"",""time"":505},{""stimulus"":""img/2to1/6.png"",""time"":603},{""stimulus"":""img/2to1/7.png"",""time"":705},{""stimulus"":""img/2to1/8.png"",""time"":804},{""stimulus"":""img/2to1/9.png"",""time"":904},{""stimulus"":""img/2to1/10.png"",""time"":1003},{""stimulus"":""img/2to1/11.png"",""time"":1104},{""stimulus"":""img/2to1/12.png"",""time"":1202}]","[]"
"image-keyboard-response","18","159653","0.0-5.0-1.7","636570d91a49a6d6cbcbc854","bdp_cybrbll","Mon Mar 27 2023 10:31:46 GMT (Coordinated Universal Time)","556110","1","3","","null","","","","observe","","img/1to3/1.png","null","218","581","0.5","0.5","1","3","",""
"animation","19","160953","0.0-5.0-2.7","636570d91a49a6d6cbcbc854","bdp_cybrbll","Mon Mar 27 2023 10:31:46 GMT (Coordinated Universal Time)","556110","1","3","","","","","","","","","","218","","","","1","3","[{""stimulus"":""img/1to3/1.png"",""time"":110},{""stimulus"":""img/1to3/2.png"",""time"":214},{""stimulus"":""img/1to3/3.png"",""time"":300},{""stimulus"":""img/1to3/4.png"",""time"":399},{""stimulus"":""img/1to3/5.png"",""time"":500},{""stimulus"":""img/1to3/6.png"",""time"":599},{""stimulus"":""img/1to3/7.png"",""time"":701},{""stimulus"":""img/1to3/8.png"",""time"":798},{""stimulus"":""img/1to3/9.png"",""time"":900},{""stimulus"":""img/1to3/10.png"",""time"":999},{""stimulus"":""img/1to3/11.png"",""time"":1098},{""stimulus"":""img/1to3/12.png"",""time"":1198}]","[]"
"image-keyboard-response","20","161425","0.0-5.0-1.8","636570d91a49a6d6cbcbc854","bdp_cybrbll","Mon Mar 27 2023 10:31:46 GMT (Coordinated Universal Time)","556110","1","3","","null","","","","observe","","img/3to2/1.png","null","217","462","0.5","0.5","3","1","",""
"animation","21","162718","0.0-5.0-2.8","636570d91a49a6d6cbcbc854","bdp_cybrbll","Mon Mar 27 2023 10:31:46 GMT (Coordinated Universal Time)","556110","1","3","","","","","","","","","","217","","","","3","1","[{""stimulus"":""img/3to1/1.png"",""time"":111},{""stimulus"":""img/3to1/2.png"",""time"":208},{""stimulus"":""img/3to1/3.png"",""time"":310},{""stimulus"":""img/3to1/4.png"",""time"":410},{""stimulus"":""img/3to1/5.png"",""time"":510},{""stimulus"":""img/3to1/6.png"",""time"":609},{""stimulus"":""img/3to1/7.png"",""time"":711},{""stimulus"":""img/3to1/8.png"",""time"":794},{""stimulus"":""img/3to1/9.png"",""time"":907},{""stimulus"":""img/3to1/10.png"",""time"":994},{""stimulus"":""img/3to1/11.png"",""time"":1091},{""stimulus"":""img/3to1/12.png"",""time"":1192}]","[]"
"image-keyboard-response","22","163472","0.0-5.0-1.9","636570d91a49a6d6cbcbc854","bdp_cybrbll","Mon Mar 27 2023 10:31:46 GMT (Coordinated Universal Time)","556110","1","3","","null","","","","observe","","img/1to3/1.png","null","216","744","0.5","0.5","1","3","",""
"animation","23","164765","0.0-5.0-2.9","636570d91a49a6d6cbcbc854","bdp_cybrbll","Mon Mar 27 2023 10:31:46 GMT (Coordinated Universal Time)","556110","1","3","","","","","","","","","","216","","","","1","3","[{""stimulus"":""img/1to3/1.png"",""time"":109},{""stimulus"":""img/1to3/2.png"",""time"":210},{""stimulus"":""img/1to3/3.png"",""time"":313},{""stimulus"":""img/1to3/4.png"",""time"":409},{""stimulus"":""img/1to3/5.png"",""time"":510},{""stimulus"":""img/1to3/6.png"",""time"":595},{""stimulus"":""img/1to3/7.png"",""time"":709},{""stimulus"":""img/1to3/8.png"",""time"":794},{""stimulus"":""img/1to3/9.png"",""time"":893},{""stimulus"":""img/1to3/10.png"",""time"":995},{""stimulus"":""img/1to3/11.png"",""time"":1093},{""stimulus"":""img/1to3/12.png"",""time"":1196}]","[]"
"image-keyboard-response","24","165038","0.0-5.0-1.10","636570d91a49a6d6cbcbc854","bdp_cybrbll","Mon Mar 27 2023 10:31:46 GMT (Coordinated Universal Time)","556110","1","3","","null","","","","observe","","img/3to2/1.png","null","215","258","0.5","0.5","3","1","",""
"animation","25","166331","0.0-5.0-2.10","636570d91a49a6d6cbcbc854","bdp_cybrbll","Mon Mar 27 2023 10:31:46 GMT (Coordinated Universal Time)","556110","1","3","","","","","","","","","","215","","","","3","1","[{""stimulus"":""img/3to1/1.png"",""time"":109},{""stimulus"":""img/3to1/2.png"",""time"":209},{""stimulus"":""img/3to1/3.png"",""time"":311},{""stimulus"":""img/3to1/4.png"",""time"":411},{""stimulus"":""img/3to1/5.png"",""time"":496},{""stimulus"":""img/3to1/6.png"",""time"":610},{""stimulus"":""img/3to1/7.png"",""time"":695},{""stimulus"":""img/3to1/8.png"",""time"":796},{""stimulus"":""img/3to1/9.png"",""time"":894},{""stimulus"":""img/3to1/10.png"",""time"":997},{""stimulus"":""img/3to1/11.png"",""time"":1095},{""stimulus"":""img/3to1/12.png"",""time"":1196}]","[]"
"image-keyboard-response","26","166617","0.0-5.0-1.11","636570d91a49a6d6cbcbc854","bdp_cybrbll","Mon Mar 27 2023 10:31:46 GMT (Coordinated Universal Time)","556110","1","3","","null","","","","observe","","img/1to3/1.png","null","214","279","0.5","0.5","1","3","",""
"animation","27","167913","0.0-5.0-2.11","636570d91a49a6d6cbcbc854","bdp_cybrbll","Mon Mar 27 2023 10:31:46 GMT (Coordinated Universal Time)","556110","1","3","","","","","","","","","","214","","","","1","3","[{""stimulus"":""img/1to3/1.png"",""time"":109},{""stimulus"":""img/1to3/2.png"",""time"":212},{""stimulus"":""img/1to3/3.png"",""time"":314},{""stimulus"":""img/1to3/4.png"",""time"":398},{""stimulus"":""img/1to3/5.png"",""time"":497},{""stimulus"":""img/1to3/6.png"",""time"":597},{""stimulus"":""img/1to3/7.png"",""time"":698},{""stimulus"":""img/1to3/8.png"",""time"":797},{""stimulus"":""img/1to3/9.png"",""time"":897},{""stimulus"":""img/1to3/10.png"",""time"":999},{""stimulus"":""img/1to3/11.png"",""time"":1096},{""stimulus"":""img/1to3/12.png"",""time"":1199}]","[]"
"image-keyboard-response","28","168094","0.0-5.0-1.12","636570d91a49a6d6cbcbc854","bdp_cybrbll","Mon Mar 27 2023 10:31:46 GMT (Coordinated Universal Time)","556110","1","3","","null","","","","observe","","img/3to2/1.png","null","213","175","0.5","0.5","3","1","",""
"animation","29","169396","0.0-5.0-2.12","636570d91a49a6d6cbcbc854","bdp_cybrbll","Mon Mar 27 2023 10:31:46 GMT (Coordinated Universal Time)","556110","1","3","","","","","","","","","","213","","","","3","1","[{""stimulus"":""img/3to1/1.png"",""time"":109},{""stimulus"":""img/3to1/2.png"",""time"":203},{""stimulus"":""img/3to1/3.png"",""time"":303},{""stimulus"":""img/3to1/4.png"",""time"":415},{""stimulus"":""img/3to1/5.png"",""time"":516},{""stimulus"":""img/3to1/6.png"",""time"":616},{""stimulus"":""img/3to1/7.png"",""time"":716},{""stimulus"":""img/3to1/8.png"",""time"":816},{""stimulus"":""img/3to1/9.png"",""time"":917},{""stimulus"":""img/3to1/10.png"",""time"":1015},{""stimulus"":""img/3to1/11.png"",""time"":1117},{""stimulus"":""img/3to1/12.png"",""time"":1215}]","[]"
"image-keyboard-response","30","169696","0.0-5.0-1.13","636570d91a49a6d6cbcbc854","bdp_cybrbll","Mon Mar 27 2023 10:31:46 GMT (Coordinated Universal Time)","556110","1","3","","null","","","","observe","","img/1to3/1.png","null","212","284","0.5","0.5","1","3","",""
"animation","31","170992","0.0-5.0-2.13","636570d91a49a6d6cbcbc854","bdp_cybrbll","Mon Mar 27 2023 10:31:46 GMT (Coordinated Universal Time)","556110","1","3","","","","","","","","","","212","","","","1","3","[{""stimulus"":""img/1to3/1.png"",""time"":111},{""stimulus"":""img/1to3/2.png"",""time"":212},{""stimulus"":""img/1to3/3.png"",""time"":314},{""stimulus"":""img/1to3/4.png"",""time"":398},{""stimulus"":""img/1to3/5.png"",""time"":499},{""stimulus"":""img/1to3/6.png"",""time"":596},{""stimulus"":""img/1to3/7.png"",""time"":697},{""stimulus"":""img/1to3/8.png"",""time"":800},{""stimulus"":""img/1to3/9.png"",""time"":897},{""stimulus"":""img/1to3/10.png"",""time"":998},{""stimulus"":""img/1to3/11.png"",""time"":1098},{""stimulus"":""img/1to3/12.png"",""time"":1198}]","[]"
"image-keyboard-response","32","171672","0.0-5.0-1.14","636570d91a49a6d6cbcbc854","bdp_cybrbll","Mon Mar 27 2023 10:31:46 GMT (Coordinated Universal Time)","556110","1","3","","null","","","","observe","","img/3to2/1.png","null","211","671","0.5","0.5","3","2","",""
"animation","33","172960","0.0-5.0-2.14","636570d91a49a6d6cbcbc854","bdp_cybrbll","Mon Mar 27 2023 10:31:46 GMT (Coordinated Universal Time)","556110","1","3","","","","","","","","","","211","","","","3","2","[{""stimulus"":""img/3to2/1.png"",""time"":109},{""stimulus"":""img/3to2/2.png"",""time"":203},{""stimulus"":""img/3to2/3.png"",""time"":304},{""stimulus"":""img/3to2/4.png"",""time"":403},{""stimulus"":""img/3to2/5.png"",""time"":505},{""stimulus"":""img/3to2/6.png"",""time"":602},{""stimulus"":""img/3to2/7.png"",""time"":704},{""stimulus"":""img/3to2/8.png"",""time"":802},{""stimulus"":""img/3to2/9.png"",""time"":904},{""stimulus"":""img/3to2/10.png"",""time"":1003},{""stimulus"":""img/3to2/11.png"",""time"":1105},{""stimulus"":""img/3to2/12.png"",""time"":1204}]","[]"
"image-keyboard-response","34","174005","0.0-5.0-1.15","636570d91a49a6d6cbcbc854","bdp_cybrbll","Mon Mar 27 2023 10:31:46 GMT (Coordinated Universal Time)","556110","1","3","","1042","","","","choice","","img/2to1/1.png","2","210","298","0.5","0.5","2","3","",""
